rad,584H,585L,584to585,585H,586L,585to586,586H,587L,586to587,
0.0,0.565323274983,0.552082327122,0,0.567211254083,0.552082384646,0,0.567212596612,0.555174966838,0,
0.1,0.439948601994,0.440197644927,0.000565912617852,0.440246713509,0.440610616103,0.000826246388955,0.44074601966,0.440875345264,0.000293381284253,
0.2,0.309598120507,0.31194119733,0.00753959325155,0.311942053332,0.331008050641,0.0593078597863,0.331008379106,0.343418434275,0.036801784635,
0.3,0.254679144483,0.278067603907,0.0878032930078,0.278067987076,0.290748651447,0.0445861232355,0.29074876186,0.293007701871,0.00773932333631,
0.4,0.22141605694,0.223740381426,0.0104427310755,0.223754847177,0.225748118864,0.00886878102181,0.225773339805,0.22662225595,0.00375298147226,
0.5,0.192980172266,0.192892313061,0,0.19305092779,0.193110371048,0.000307867505465,0.193230284735,0.19338183187,0.000783975093341,
0.05,0.535243697564,0.53436978023,0,0.53562549105,0.534676836647,0,0.535794395251,0.535151174656,0,
0.15,0.35801542542,0.359861749042,0.0051438426711,0.359862703487,0.36501577996,0.0142177664012,0.365017835225,0.368708963657,0.0100613155665,
0.25,0.279507476958,0.293822762808,0.0499373131112,0.293823519602,0.316793265986,0.075234572408,0.316793469611,0.322990774562,0.0193731090052,
0.35,0.236259174738,0.252077198405,0.0647833114115,0.252077802832,0.256009817738,0.0154777040302,0.256011160152,0.25697058021,0.0037405622164,
0.45,0.205944897291,0.205760653923,0,0.206004027885,0.206036186953,0.000156096743657,0.206288982795,0.2062545679,0,
