[0.94011066666666665, 0.98821400000000004]
[0.012096156666666668, 0.52637100000000003]
[0.45608366666666661, 0.97268733333333335]
[0.56651033333333334, 0.98813433333333334]
[0.38479933333333327, 0.97930766666666669]
[0.054024916666666672, 0.21643166666666666]
[0.51270866666666659, 0.96345633333333336]
[0.71973133333333328, 0.9798079999999999]
[0.64320300000000008, 0.95082500000000003]
[0.39597599999999994, 0.95169399999999993]
[0.034598283333333334, 0.1256186]
[0.042951049999999998, 0.16899666666666668]
[0.99552866666666662, 0.64640866666666674]
[0.99495266666666671, 0.50524633333333335]
[0.14233613333333334, 0.96451133333333328]
[0.022619873333333332, 0.85979566666666674]
[0.037724506666666664, 0.82780799999999999]
[0.28408466666666665, 0.9582626666666666]
[0.5569156666666667, 0.94685466666666673]
[0.60678166666666666, 0.88670033333333331]
[0.60547333333333331, 0.93592933333333328]
[0.34673466666666664, 0.540022]
[0.27333433333333335, 0.48241233333333328]
[0.36734233333333338, 0.65818366666666661]
[0.35924633333333333, 0.62579066666666661]
[0.29863866666666666, 0.56185733333333332]
[0.26757999999999998, 0.53273500000000007]
[0.30711500000000003, 0.61081933333333327]
[0.27961666666666668, 0.63327933333333331]
[0.23718499999999998, 0.63133799999999995]
[0.20098166666666664, 0.60088466666666662]
[0.378751, 0.56652366666666654]
[0.38278633333333328, 0.60333033333333341]
[0.23675966666666667, 0.47583166666666665]
[0.21368066666666666, 0.44807966666666665]
[0.19836233333333331, 0.54728333333333334]
[0.23100533333333331, 0.52615433333333339]
[0.041343450000000004, 0.26824433333333336]
[0.083593166666666677, 0.30060433333333331]
[0.49838633333333338, 0.025374555000000003]
[0.35904496666666669, 0.010202118333333334]
[0.3079383, 0.020544529999999998]
[0.63217233333333334, 0.86206933333333335]
[0.96469666666666676, 0.95660699999999999]
[0.98166066666666685, 0.89852833333333326]
[0.90129733333333339, 0.96387999999999996]
[0.92588333333333328, 0.93227300000000002]
[0.86186733333333321, 0.41781333333333331]
[0.92745066666666665, 0.3888036666666666]
[0.89886066666666664, 0.4257413333333333]
[0.98894033333333331, 0.67913200000000007]
[0.096655366666666673, 0.94341933333333339]
[0.050522666666666667, 0.92048800000000008]
[0.0656273, 0.88850033333333334]
[0.10349933333333333, 0.88156733333333326]
[0.1346619, 0.91604066666666661]
[0.20994900000000002, 0.94324999999999992]
[0.24935033333333334, 0.93065900000000001]
[0.18163599999999999, 0.90558866666666671]
[0.26342033333333331, 0.88175199999999998]
[0.40364500000000003, 0.66711799999999999]
[0.4416626666666667, 0.64902399999999993]
[0.42399433333333331, 0.7987103333333333]
[0.4681143333333333, 0.73651466666666676]
[0.39946366666666666, 0.75012066666666666]
[0.42165800000000003, 0.71592399999999989]
[0.40218066666666669, 0.82581666666666675]
[0.37588766666666668, 0.91724000000000006]
[0.33528066666666673, 0.91718833333333327]
[0.53751233333333337, 0.9121623333333333]
[0.56623166666666669, 0.87676166666666655]
[0.41746900000000003, 0.47967200000000004]
[0.42417499999999997, 0.439606]
[0.17092333333333332, 0.45360933333333331]
[0.15091633333333332, 0.41868700000000003]
[0.11724569999999999, 0.55394299999999996]
[0.090840199999999996, 0.52565833333333334]
[0.11290649999999998, 0.48679966666666669]
[0.16374666666666668, 0.52500000000000002]
[0.15311699999999998, 0.48476333333333327]
[0.461482, 0.05266493333333333]
[0.4206893333333333, 0.044833333333333336]
[0.63000900000000004, 0.016542121666666666]
[0.72672633333333325, 0.016057221666666666]
[0.82035766666666665, 0.030109433333333335]
[0.75736166666666671, 0.036105633333333331]
[0.9709646666666667, 0.25917099999999998]
[0.51718166666666665, 0.30010966666666666]
[0.47737266666666667, 0.32562000000000002]
[0.56125566666666671, 0.34877033333333324]
[0.56217066666666671, 0.30588033333333331]
[0.69466566666666674, 0.92186366666666675]
[0.63877499999999998, 0.81823200000000007]
[0.61977000000000004, 0.78754133333333332]
[0.95638333333333325, 0.43068766666666664]
[0.98212199999999994, 0.3359293333333333]
[0.99181266666666668, 0.40664433333333333]
[0.96979100000000018, 0.72977633333333325]
[0.94670966666666667, 0.60210466666666662]
[0.96581233333333338, 0.62841233333333324]
[0.91090033333333331, 0.69109299999999996]
[0.94666300000000003, 0.67905666666666653]
[0.36061433333333337, 0.82225566666666661]
[0.29338099999999995, 0.86219666666666661]
[0.330507, 0.87002933333333343]
[0.47860299999999995, 0.87225433333333335]
[0.49843533333333329, 0.90662133333333339]
[0.42913866666666661, 0.86521533333333334]
[0.41627433333333336, 0.8924173333333334]
[0.46905933333333333, 0.93403633333333336]
[0.43636266666666668, 0.92687133333333327]
[0.50068366666666664, 0.84547566666666663]
