r0,r1,99H,100L,99to100,200H,201L,200to201,297H,298L,297to298,299H,300L,299to300
0.2,0.3,0.169554244,0.175862647,0.036526314,0.24394033,0.243984416,0.000180707,0.31423725,0.31442284,0.00059043,0.318329705,0.318734604,0.00127114
0.2,0.35,0.157941388,0.171436815,0.08194487,0.237025659,0.23720353,0.000750147,0.293596839,0.295648429,0.006963452,0.297490224,0.297865625,0.001261097
0.2,0.4,0.148548085,0.166680608,0.115043607,0.228757026,0.228913378,0.000683252,0.275744208,0.276305371,0.002033016,0.276855243,0.277195513,0.001228298
0.35,0.2,0.14575294,0.146147298,0.002702003,0.195951967,0.211218038,0.074986225,0.27316229,0.27536848,0.008044,0.275754413,0.276030497,0.001000696
0.15,0.1,0.236913363,0.23694073,0.000115505,0.308618953,0.316862518,0.026359104,0.417513253,0.418078734,0.001353486,0.418506017,0.418845337,0.00081046
0.35,0.35,0.136108538,0.136444672,0.002466558,0.189112161,0.189317301,0.001084166,0.253937439,0.255053255,0.004384428,0.255153478,0.255358834,0.000804507
0.3,0.45,0.135349612,0.135833643,0.003569771,0.192531122,0.192601585,0.000365917,0.242685205,0.243193185,0.002090979,0.243558501,0.243743918,0.000760996
0.15,0.4,0.150789851,0.184211868,0.199533407,0.246749973,0.246685625,0,0.287409047,0.287546062,0.000476612,0.288206886,0.288417778,0.000731469
0.25,0.4,0.145406847,0.151321609,0.039866495,0.21105524,0.211443862,0.001839634,0.265264701,0.265645812,0.001435685,0.266707461,0.266892608,0.000693956
0.35,0.5,0.126038125,0.126196949,0.001259337,0.1788758,0.178904115,0.000158281,0.223922384,0.224206082,0.001266148,0.224633133,0.224781145,0.000658686
0.05,0.35,0.164260829,0.225347566,0.313580188,0.293723764,0.293596238,0,0.32899261,0.328921491,0,0.330547481,0.330738099,0.000576506
0.4,0.5,0.120325419,0.121220735,0.007413204,0.171555889,0.171633787,0.000453964,0.215894016,0.215858871,0,0.216426154,0.216545319,0.00055045
0.15,0.05,0.242470647,0.241626887,0,0.31047196,0.340776905,0.093067171,0.448102678,0.448754521,0.001453618,0.449221706,0.44945265,0.000513966
0.2,0.5,0.135019256,0.154688803,0.13578874,0.208510841,0.208318623,0,0.244658869,0.244896067,0.000969037,0.245444475,0.245565182,0.00049167
0.1,0.35,0.16307497,0.211181467,0.257077728,0.282238567,0.282225647,0,0.323158135,0.323445831,0.000889868,0.324296286,0.324452992,0.000483104
