r0,r1,99H,100L,99to100,200H,201L,200to201,201H,202L,201to202,296H,297L,296to297,297H,298L,297to298,299H,300L,299to300,
0.0,0.0,0.338450139192,0.312771769544,0,0.463611022839,0.440431600368,0,0.467148157614,0.452604349825,0,0.576141807891,0.559999096856,0,0.576142162325,0.549399214227,0,0.569574116231,0.54863782532,0,
0.0,0.1,0.298724599461,0.298772744867,0.000161156886199,0.425460481121,0.425768654708,0.000724067290346,0.426852106622,0.426624519218,0,0.519074572525,0.519171400025,0.000186521310323,0.520124742114,0.52036778486,0.000467168653814,0.521826253521,0.522505860519,0.0013015150819,
0.0,0.2,0.22510822179,0.259274046365,0.141069675011,0.380045972926,0.38028332094,0.000624329525515,0.381300606152,0.382204595775,0.00236799859543,0.477588975353,0.477615821331,5.62098898125e-05,0.478122396956,0.478729367151,0.00126868177045,0.480096202797,0.480027023593,0,
0.0,0.3,0.179099943299,0.241013913542,0.294748527022,0.328439880753,0.328571814346,0.000401617182167,0.329336357659,0.329301230325,0,0.37069145253,0.371186957556,0.00133581196054,0.371542988538,0.371636852852,0.000252601884799,0.37268289117,0.372476176175,0,
0.0,0.4,0.153567814141,0.215330054836,0.334847370446,0.268647218548,0.268208896195,0,0.268795461891,0.26881007695,5.43709387165e-05,0.298571893014,0.300338425084,0.00589915390329,0.300387823371,0.301883025953,0.00496521650917,0.307229652919,0.309903624337,0.00866578263269,
0.0,0.5,0.1380059993,0.182687178656,0.278653756473,0.225000951136,0.225066668019,0.000292031153654,0.225400057581,0.225444831196,0.000198620930509,0.255872032899,0.257788849409,0.00746335403872,0.25779099181,0.285829845445,0.103155919398,0.288626206927,0.293163283772,0.015596970786,
0.1,0.0,0.284710026237,0.282355555398,0,0.383577436621,0.383895663842,0.000829285666046,0.384017796036,0.387983265382,0.0102732225218,0.488793683427,0.488916174725,0.000250567788298,0.48926645222,0.489428830348,0.000331825708907,0.490453036761,0.49151822661,0.00216949291405,
0.1,0.1,0.270165094671,0.269939215056,0,0.369557621332,0.369424996863,0,0.370323036387,0.370303913618,0,0.452410887915,0.452571513463,0.000354980490121,0.452847447396,0.453255441829,0.000900547694006,0.454130921691,0.454268289888,0.000302440149016,
0.1,0.2,0.220578301443,0.234163751537,0.0597501374874,0.336450762583,0.336883152431,0.00128432517066,0.337403254216,0.337497670697,0.000279793603226,0.410618781937,0.41161329298,0.0024190519287,0.411671368372,0.412124574232,0.00110028669995,0.413632213529,0.415731111905,0.00506146898793,
0.1,0.3,0.177109437221,0.219247231721,0.212625636463,0.305080676675,0.304966853633,0,0.305290169417,0.305492714602,0.000663231372098,0.358730370875,0.35871322991,0,0.359091948593,0.35924206316,0.000417951997054,0.360168476078,0.360199231205,8.53873009992e-05,
0.1,0.4,0.152324229602,0.200896028809,0.275022726187,0.259476617683,0.259641891502,0.00063674793522,0.260129768783,0.260029306055,0,0.294798046086,0.294863875179,0.000223277408332,0.295267249264,0.296041609345,0.00261913911907,0.297055338689,0.297531554296,0.00160183688153,
0.1,0.5,0.137318932484,0.175737343313,0.245440924199,0.221513607031,0.221326501406,0,0.221987356022,0.221792440021,0,0.254794748699,0.256171076035,0.00538716004179,0.256184630806,0.26954584269,0.0508291322554,0.272599564121,0.275843630174,0.0118300895578,
0.2,0.0,0.209942054865,0.209553533078,0,0.264438717417,0.328651634885,0.216536712219,0.328651938814,0.332733231195,0.0123416507221,0.423190546313,0.423438847621,0.000586564345677,0.423579486937,0.424562888204,0.00231895327106,0.426066850922,0.427276871584,0.00283595139973,
