r0,r1,100H,101L,100to101,101H,102L,101to102,200H,201L,200to201,298H,299L,298to299,300H,301L,300to301,301H,302L,301to302
0,0.35,0.150961578,0.150908077,0%,0.151833513,0.151234917,0,0.195725015,0.258965622,0.278169825,0.293869931,0.293848027,0,0.294405653,0.294366405,0,0.294589466,0.294546815,0
0.05,0.35,0.15079208,0.150731808,0%,0.151679734,0.151008422,0,0.195669189,0.257035029,0.271107879,0.293256034,0.29308551,0,0.293680999,0.29363385,0,0.293882865,0.293936733,0.000183279
0.05,0.2,0.209369568,0.208780317,0%,0.210419018,0.208909299,0,0.261451947,0.341869896,0.266583915,0.41276243,0.416402353,0.008779733,0.418213064,0.418833748,0.001483033,0.419254349,0.419265544,2.67E-05
0.1,0.3,0.164692611,0.164520232,0%,0.165700344,0.164675948,0,0.210371014,0.274399048,0.264158364,0.325379272,0.325774314,0.001213362,0.326457622,0.326653005,0.000598317,0.327199821,0.327246461,0.000142531
0.1,0.25,0.183358985,0.182899112,0%,0.184319959,0.183029253,0,0.230982047,0.295437524,0.244882525,0.352072377,0.352626793,0.001573484,0.354432914,0.367720575,0.0368001,0.367751818,0.369920325,0.005879325
0.1,0.35,0.150222864,0.150094352,0%,0.151167385,0.150262722,0,0.195465507,0.248929318,0.240614012,0.290066668,0.290011838,0,0.290728463,0.290685649,0,0.291032025,0.2910013,0
0,0.4,0.139096639,0.13910967,0%,0.140014386,0.139378954,0,0.184661888,0.229278863,0.215571791,0.26203428,0.261919037,0,0.262463637,0.262394426,0,0.262797974,0.262692001,0
0.05,0.4,0.138955815,0.138959303,0%,0.139886913,0.139187296,0,0.184607254,0.228104165,0.210786078,0.261711713,0.26155613,0,0.262046751,0.261982302,0,0.262384819,0.262210897,0
0.1,0.4,0.138510903,0.138422832,0%,0.139467646,0.13856659,0,0.184425132,0.223566794,0.191874687,0.259918638,0.259740976,0,0.260372178,0.260224215,0,0.260597038,0.260611935,5.72E-05
0,0.15,0.243790573,0.242241243,0%,0.245002072,0.242502124,0,0.308146607,0.368963464,0.179636546,0.452031943,0.45226821,0.000522541,0.453442416,0.453665639,0.000492165,0.453769869,0.454070536,0.000662378
0.15,0.35,0.149314215,0.148907183,0%,0.1501996,0.149028643,0,0.195024762,0.231870294,0.172621028,0.280273639,0.280491146,0.000775751,0.281771145,0.283334957,0.00553458,0.28373381,0.28421494,0.001694274
0.1,0.2,0.208016143,0.206804177,0%,0.209037267,0.207016111,0,0.261013063,0.309529801,0.170072193,0.36460016,0.365252279,0.00178699,0.36769451,0.408020031,0.10397,0.408022298,0.411360589,0.008148307
0.15,0.3,0.163579085,0.162948671,0%,0.164457507,0.163125505,0,0.209820633,0.247303704,0.163995079,0.295628417,0.295991177,0.001226326,0.296274768,0.319745025,0.076199686,0.319770343,0.321750458,0.006173189
0.05,0.15,0.243023335,0.241286496,0%,0.244297374,0.241368077,0,0.307912542,0.359385758,0.154273482,0.436681786,0.440572986,0.008871311,0.441895402,0.446242122,0.009788395,0.446348973,0.447712664,0.003050551
0.15,0.4,0.137811247,0.137445869,0%,0.138675937,0.137536859,0,0.184051052,0.213467685,0.14800124,0.255309084,0.255339656,0.000119739,0.256172514,0.255991158,0,0.256452056,0.256354582,0
0,0.45,0.129252258,0.129221423,0%,0.130207577,0.129459786,0,0.176258871,0.204127501,0.146528019,0.236415279,0.236282861,0,0.236989486,0.236942399,0,0.23724464,0.237146228,0
0.05,0.45,0.129146793,0.129090195,0%,0.130097243,0.129290781,0,0.176206677,0.203342168,0.142988139,0.236205058,0.236060752,0,0.236706549,0.23664776,0,0.236911608,0.236816145,0
0.1,0.45,0.128815092,0.128653674,0%,0.129738987,0.128754913,0,0.176021551,0.200517183,0.130109497,0.235294628,0.235015437,0,0.235630304,0.235439513,0,0.235778314,0.235794286,6.77E-05
0.15,0.25,0.181656903,0.180571548,0%,0.182560691,0.18090761,0,0.230255685,0.258346057,0.114982695,0.303002356,0.303684494,0.002248729,0.304135817,0.362976073,0.176402959,0.36297653,0.365967893,0.008207384
0.15,0.45,0.12820478,0.127767459,0%,0.12905108,0.127879912,0,0.175619464,0.19454287,0.102243822,0.232735035,0.232361522,0,0.233207067,0.232975297,0,0.233491047,0.233394341,0
0.2,0.35,0.147905821,0.147045985,0%,0.148712443,0.147362463,0,0.194213809,0.211245043,0.084009678,0.25655093,0.25684239,0.001135425,0.257410735,0.279588517,0.082598932,0.279628783,0.280814966,0.004233015
0.2,0.4,0.136686975,0.135959361,0%,0.137506142,0.136191311,0,0.183366041,0.199201911,0.082787228,0.245641273,0.245677066,0.000145705,0.246991289,0.249704473,0.010924932,0.250006988,0.250513448,0.002023735
0,0.5,0.120918764,0.120673948,0%,0.121905227,0.120943584,0,0.169403142,0.183066897,0.077531445,0.216153052,0.215723842,0,0.216617807,0.216322792,0,0.216783532,0.216774225,0
0.05,0.5,0.120825489,0.120552929,0%,0.1218073,0.120790834,0,0.16934078,0.182516958,0.074894918,0.215905002,0.215507492,0,0.216374803,0.216090045,0,0.21656171,0.216541567,0
0.1,0.5,0.120527384,0.120152663,0%,0.121491687,0.120314621,0,0.169120412,0.180638392,0.065862415,0.215061243,0.214801186,0,0.215506707,0.2154147,0,0.215722145,0.215731764,4.46E-05
0.2,0.45,0.127246723,0.126541232,0%,0.12807562,0.126732863,0,0.174907153,0.185370558,0.058085216,0.227842899,0.227903481,0.00026586,0.228570834,0.22850173,0,0.228846567,0.228690307,0
0.2,0.3,0.161544656,0.160358678,0%,0.162378546,0.160598903,0,0.208735328,0.220803447,0.056191059,0.263155097,0.263090325,0,0.26379773,0.317007626,0.183227981,0.317010656,0.319169263,0.006786155
0.1,0.15,0.239971735,0.237441993,0%,0.241277753,0.237952725,0,0.30671456,0.321841335,0.048131835,0.382531415,0.381424758,0,0.382598716,0.434237951,0.126437114,0.434238605,0.441088741,0.015651599
0.15,0.5,0.119979165,0.119370608,0%,0.120890461,0.119533928,0,0.168642642,0.17693515,0.047992134,0.213323818,0.213166715,0,0.213893675,0.213622176,0,0.214094791,0.213944357,0
0.15,0.2,0.204743052,0.202706999,0%,0.205661342,0.202910814,0,0.259707292,0.2678658,0.030928446,0.312954432,0.313374372,0.001340955,0.313456792,0.403471034,0.251111029,0.403471292,0.408332765,0.011976962
0,0.1,0.285419835,0.281812792,0%,0.286962138,0.282600632,0,0.381153645,0.392956825,0.03049482,0.490523662,0.490933458,0.000835076,0.492730627,0.492006109,0,0.493030911,0.492918819,0
0.2,0.5,0.119129302,0.118350994,0%,0.120022294,0.118576781,0,0.167723062,0.171398494,0.021676191,0.210624809,0.210180659,0,0.211094897,0.210714668,0,0.21142343,0.211314941,0
0.25,0.4,0.134909054,0.133832687,0%,0.135743755,0.134074351,0,0.18207079,0.185790188,0.02022176,0.230031512,0.230713833,0.002961813,0.231133453,0.246822336,0.065649935,0.246909234,0.247894372,0.003981934
0.25,0.45,0.125819026,0.124818314,0%,0.126633414,0.12518943,0,0.173545855,0.175801528,0.012913637,0.22040571,0.22057753,0.00077926,0.221790269,0.223087686,0.005832687,0.223365838,0.223742537,0.001685046
0.25,0.35,0.145605615,0.144259877,0%,0.146381545,0.144358737,0,0.192659627,0.194823847,0.011170645,0.23666676,0.237014226,0.00146709,0.237479104,0.276957302,0.153481351,0.276970098,0.278433219,0.005268679
0.05,0.1,0.283798511,0.279522015,0%,0.285059132,0.280247359,0,0.379750367,0.383149383,0.008910782,0.476565452,0.477074234,0.001067033,0.478174499,0.478921341,0.001560644,0.479315219,0.482432985,0.006483539
0.2,0.25,0.178412719,0.176337656,0%,0.17913014,0.176708489,0,0.228477391,0.230131648,0.007214237,0.270468629,0.270606241,0.000508661,0.270883216,0.359587901,0.281391748,0.359588274,0.363661359,0.011263288
0.3,0.4,0.132583115,0.130847894,0%,0.133273912,0.131176141,0,0.178040826,0.178480727,0.002467742,0.218660748,0.219151509,0.00224188,0.219350553,0.243754588,0.105393062,0.24379255,0.245099004,0.005344555
0.3,0.45,0.12388688,0.12246504,0%,0.124623314,0.122629407,0,0.169695234,0.170050306,0.002090221,0.211640624,0.211708613,0.000321196,0.212670142,0.220016527,0.033957064,0.220173894,0.2210804,0.004108767
0.3,0.35,0.14234916,0.140763237,0%,0.143044788,0.141148129,0,0.187742575,0.188134407,0.002084897,0.224753967,0.225036206,0.001254976,0.225637203,0.272535663,0.188281875,0.27254559,0.274717082,0.00793583
0.3,0.5,0.116307793,0.11498184,0%,0.117060459,0.115185809,0,0.161754004,0.161904744,0.000931478,0.201581816,0.201657978,0.00037775,0.202410344,0.202255536,0,0.202950022,0.202735583,0
0.25,0.5,0.117903744,0.116892661,0%,0.118779244,0.117294758,0,0.165775459,0.165926577,0.000911168,0.206318034,0.206171667,0,0.206978876,0.206812882,0,0.207224746,0.20690422,0
0.25,0.3,0.158365812,0.156409489,0%,0.159081781,0.156792008,0,0.205353371,0.205463625,0.000536754,0.243067938,0.24322576,0.000649083,0.243704292,0.313269722,0.249797759,0.313271167,0.316041067,0.008802943
0.15,0.1,0.25194201,0.251226471,0%,0.253427728,0.253260257,0,0.340471478,0.340639421,0.000493144,0.392979912,0.394234997,0.003188671,0.394734152,0.446908304,0.123981751,0.446909405,0.456235266,0.020651976
0.5,0.3,0.129440733,0.129317446,0%,0.129670971,0.132019098,0.017945861,0.180392247,0.180463585,0.000395382,0.217958925,0.218229236,0.001239424,0.21889548,0.225840663,0.031232825,0.225864878,0.227691678,0.008055445
0.2,0.15,0.214215175,0.214820469,0%,0.215731875,0.215778946,0.000218166,0.283336691,0.283435043,0.000347062,0.318418772,0.319727321,0.004101093,0.32085694,0.420212442,0.268140891,0.420212744,0.426771979,0.015488438
0.4,0.35,0.13304933,0.132431372,0%,0.133408531,0.133140601,0,0.179284256,0.179287951,2.06E-05,0.214264605,0.214843312,0.002697257,0.215515288,0.250325703,0.149451919,0.250355778,0.251080838,0.002891929
0.2,0.2,0.197013547,0.195729325,0%,0.197897482,0.196358769,0,0.251547879,0.251479791,0,0.284448083,0.285592398,0.004014853,0.285785564,0.397657782,0.327378174,0.397657949,0.403912846,0.015606599
0.25,0.25,0.171847216,0.170913881,0%,0.172561254,0.171499972,0,0.221396319,0.221271791,0,0.25319044,0.254172301,0.003870451,0.254462869,0.351583978,0.320506936,0.351584182,0.356190108,0.013015241
0.25,0.2,0.185692446,0.186054793,0%,0.187230181,0.187162118,0,0.243513486,0.243379082,0,0.273598838,0.275172755,0.005736146,0.275627365,0.37990921,0.318157213,0.379909445,0.382581966,0.007009969
0.3,0.25,0.163994034,0.163866477,0%,0.16492168,0.165048482,0.000768569,0.215568675,0.215351162,0,0.24564817,0.247115079,0.005953809,0.247234733,0.331113012,0.290061751,0.331113959,0.332098722,0.002969675
0.3,0.3,0.152707587,0.151945144,0%,0.15331383,0.15248273,0,0.199838172,0.199694769,0,0.232504497,0.233273061,0.003300133,0.23376212,0.304375834,0.262437216,0.304378582,0.307331634,0.009655067
0.15,0.15,0.231055366,0.228942651,0%,0.232089609,0.229505193,0,0.296184346,0.296144213,0,0.334491177,0.335801365,0.003909301,0.336001833,0.428844011,0.24277357,0.428844195,0.436050037,0.016662943
0.35,0.3,0.147017667,0.146490565,0%,0.147460576,0.147493784,0.00022517,0.195074587,0.195044131,0,0.227152723,0.228216784,0.004673397,0.228636337,0.287157226,0.226915934,0.28716609,0.287784985,0.002152863
0.35,0.25,0.155392875,0.155714208,0%,0.156330789,0.157956075,0.010342685,0.210741376,0.210607229,0,0.241990656,0.243352162,0.005610489,0.243459999,0.300192953,0.208710186,0.300194713,0.300864932,0.002230126
0.35,0.35,0.137551929,0.136857792,0%,0.138082471,0.137364997,0,0.18338571,0.183268198,0,0.218168359,0.218828767,0.003022478,0.219350992,0.263838263,0.18414015,0.263852411,0.266124101,0.008572796
0.4,0.3,0.140488474,0.141095392,0%,0.141809573,0.141769989,0,0.19085135,0.190721787,0,0.22405757,0.224806644,0.00333764,0.22544663,0.264727059,0.160271474,0.264750857,0.264895428,0.000545914
0.35,0.4,0.129130348,0.127863335,0%,0.129785736,0.128263814,0,0.174350421,0.173847068,0,0.211745119,0.212134888,0.001839051,0.212543699,0.238713932,0.11598799,0.238746284,0.240722496,0.00824334
0.4,0.4,0.125060962,0.124419241,0%,0.125584032,0.124898062,0,0.170034419,0.169915103,0,0.207275949,0.207682035,0.001957242,0.208228705,0.230602415,0.101969567,0.230647015,0.23251475,0.008065153
0.45,0.35,0.128009345,0.128093712,0%,0.128958311,0.128832705,0,0.175177355,0.175035163,0,0.211266259,0.2114418,0.000830554,0.212422983,0.234470615,0.09867061,0.234508645,0.234757489,0.001060566
0.45,0.3,0.134591321,0.134943412,0%,0.135597516,0.136733762,0.008344584,0.186207053,0.185987335,0,0.221344068,0.22141741,0.000331295,0.222555544,0.243065584,0.088097551,0.243071537,0.244376586,0.005354615
0.1,0.1,0.274936589,0.271051669,0%,0.275901159,0.2711418,0,0.36379506,0.363340922,0,0.420336723,0.420669494,0.000791364,0.420878843,0.453390699,0.074374903,0.453395699,0.467480745,0.030590523
0.45,0.4,0.12123797,0.120678625,0%,0.121676682,0.121197234,0,0.166116264,0.165980086,0,0.203656667,0.204121591,0.002280277,0.204750169,0.219944317,0.071553307,0.220010686,0.220877394,0.003931649
0.35,0.45,0.1214049,0.119707872,0%,0.122034587,0.120083458,0,0.166136197,0.1657838,0,0.205317234,0.205494382,0.00086243,0.205969999,0.216353258,0.049172092,0.216441924,0.217976745,0.007066091
0.5,0.35,0.123172452,0.12368369,0%,0.124411906,0.124266244,0,0.170330026,0.17026381,0,0.208183874,0.208266612,0.000397344,0.208950678,0.219008065,0.047001669,0.219069432,0.219557057,0.002223419
0.4,0.45,0.117926184,0.116932658,0%,0.118549116,0.117309582,0,0.162091099,0.161789656,0,0.200680422,0.201102923,0.002103126,0.201341841,0.21095459,0.046630281,0.211035619,0.212905822,0.008822932
0.5,0.4,0.117758815,0.117262097,0%,0.118087604,0.117947176,0,0.162406825,0.162167582,0,0.200760624,0.20094272,0.000906616,0.201429066,0.209248375,0.038080049,0.209367548,0.209677869,0.001481083
0.45,0.45,0.114839844,0.114171504,0%,0.115375988,0.11462415,0,0.158778374,0.158543428,0,0.197025798,0.197491872,0.002362758,0.197847074,0.204263916,0.031915777,0.204365262,0.206092016,0.008413805
0.5,0.45,0.112525313,0.111994935,0%,0.113055429,0.11243625,0,0.156199743,0.155898452,0,0.194440768,0.194454707,7.17E-05,0.195083733,0.197879448,0.01422889,0.198023367,0.199365427,0.006754394
0.1,0.05,0.295848309,0.292451285,0%,0.296516021,0.294586649,0,0.410041899,0.409866633,0,0.4947155,0.49495255,0.000479049,0.496747106,0.49924027,0.005006418,0.499982452,0.499851761,0
0.4,0.5,0.111896401,0.110438736,0%,0.112446559,0.110847649,0,0.155188212,0.154736342,0,0.192805457,0.192951812,0.000758792,0.194141776,0.194573129,0.002219379,0.194802835,0.195928324,0.005760934
0.35,0.5,0.114247277,0.112467596,0%,0.11485075,0.112825954,0,0.158297314,0.15793888,0,0.196700004,0.196736724,0.00018666,0.198054862,0.198383983,0.001660387,0.198575035,0.199333175,0.003810626
0.5,0.5,0.108107503,0.107242302,0%,0.108662691,0.107642587,0,0.150997165,0.150524951,0,0.18742029,0.18730454,0,0.188220782,0.18829746,0.000407301,0.188820977,0.18874839,0
0.45,0.5,0.109846968,0.10878385,0%,0.11039453,0.109156898,0,0.15288918,0.152582433,0,0.190010299,0.190102378,0.000484485,0.191018789,0.191033029,7.45E-05,0.191459718,0.192386863,0.004830811
0.05,0,0.324276849,0.317922389,0%,0.325155666,0.318290409,0,0.45531667,0.449491157,0,0.556148837,0.549912093,0,0.557281989,0.551302069,0,0.558483804,0.552055305,0
0,0,0.336650425,0.288675141,0%,0.330482593,0.28867515,0,0.465474029,0.454204832,0,0.571554988,0.547722574,0,0.570132926,0.547722639,0,0.577341673,0.547722718,0
0,0.05,0.320053607,0.313061528,0%,0.320405604,0.313436009,0,0.44654435,0.441707383,0,0.545967324,0.541837242,0,0.548278401,0.543623789,0,0.548894214,0.544244016,0
0.05,0.05,0.315858347,0.308990747,0%,0.316276726,0.309108894,0,0.440714839,0.434398149,0,0.5329465,0.530126776,0,0.534424735,0.532509855,0,0.535106466,0.533335458,0
0.1,0,0.300099219,0.298749514,0%,0.301603365,0.300791274,0,0.422214573,0.421552948,0,0.516914125,0.517137834,0.000432683,0.518660498,0.518500379,0,0.519434363,0.519716081,0.00054221
