r0,r1,100H,101L,100to101,101H,102L,101to102,200H,201L,200to201,300H,301L,300to301,
0.0,0.0,0.33665042503,0.288675140504,0,0.330482592995,0.288675150278,0,0.465474029207,0.454204831685,0,0.570132926037,0.547722638868,0,
0.0,0.1,0.285419834721,0.281812791616,0,0.286962137573,0.282600632201,0,0.381153644934,0.392956824598,0.0304948198712,0.492730626663,0.492006108724,0,
0.0,0.2,0.209734704799,0.209296036542,0,0.210861242699,0.209551343946,0,0.261562615112,0.350188263705,0.289744246101,0.424575466395,0.424745736401,0.000400955503909,
0.0,0.3,0.165659651207,0.165547766372,0,0.16656901245,0.16592395521,0,0.21067483316,0.29291394488,0.326612169718,0.334286001294,0.334328571168,0.000127337561314,
0.0,0.4,0.139096639314,0.139109670078,9.36769879263e-05,0.140014385817,0.139378954158,0,0.184661888099,0.22927886256,0.215571790843,0.26246363736,0.262394426232,0,
0.0,0.5,0.120918764028,0.120673947568,0,0.121905227344,0.120943584282,0,0.169403141585,0.183066897364,0.0775314453426,0.216617806793,0.216322792364,0,
0.1,0.0,0.300099218999,0.298749514229,0,0.301603365392,0.300791274033,0,0.42221457335,0.421552947734,0,0.518660497916,0.518500379458,0,
0.1,0.1,0.274936588665,0.271051669063,0,0.27590115913,0.271141800327,0,0.363795060139,0.363340921753,0,0.42087884252,0.453390698518,0.0743749026415,
0.1,0.2,0.208016143113,0.206804176529,0,0.209037266983,0.207016111202,0,0.261013063047,0.30952980097,0.170072192585,0.367694510479,0.408020031066,0.103970000374,
0.1,0.3,0.164692610582,0.164520231572,0,0.165700343945,0.16467594758,0,0.210371014464,0.274399047777,0.264158364141,0.3264576218,0.326653005481,0.000598317261523,
0.1,0.4,0.138510902724,0.138422831601,0,0.13946764573,0.138566590453,0,0.18442513198,0.223566793539,0.191874687269,0.260372177602,0.260224214726,0,
0.1,0.5,0.120527384169,0.120152663187,0,0.121491687212,0.120314620973,0,0.169120412319,0.180638392086,0.065862415023,0.21550670707,0.215414700127,0,
0.2,0.0,0.226132194806,0.253206951851,0.112967018171,0.25330546543,0.265234594354,0.0460104429691,0.376772793929,0.377614052111,0.00223030978388,0.47743413593,0.477619903735,0.000389020509562,
0.2,0.1,0.222271262587,0.231077255377,0.0388486669353,0.231616273378,0.238429757709,0.0289907110376,0.323842447047,0.323522310906,0,0.388920972388,0.436399603631,0.115055004378,
0.2,0.2,0.19701354709,0.195729324901,0,0.197897481631,0.196358768759,0,0.251547878676,0.251479790596,0,0.285785564186,0.397657781647,0.327378174486,
0.2,0.3,0.161544656459,0.160358678136,0,0.162378546455,0.160598902582,0,0.208735327733,0.220803447012,0.0561910588215,0.263797730081,0.31700762637,0.183227980587,
0.2,0.4,0.136686974936,0.135959360766,0,0.137506141984,0.136191310972,0,0.183366041041,0.199201911168,0.0827872279161,0.246991288998,0.249704472652,0.0109249317762,
0.2,0.5,0.119129301989,0.11835099386,0,0.120022293888,0.118576780613,0,0.167723062094,0.171398493863,0.0216761907636,0.211094896731,0.21071466789,0,
0.3,0.0,0.180992993443,0.234547575196,0.25775861995,0.234553801003,0.246072241422,0.047930987513,0.325599884089,0.325741399564,0.000434535562252,0.371813612775,0.371827726992,3.79597423173e-05,
0.3,0.1,0.179280703814,0.213836437712,0.175803750318,0.213895299445,0.222572374839,0.0397604491934,0.29873288589,0.299070040749,0.00112797995198,0.36137340735,0.361483440615,0.000304439986929,
0.3,0.2,0.17311136782,0.174861385282,0.0100583591522,0.175162975474,0.17907541429,0.0220892987823,0.23690162375,0.236981683054,0.000337886156467,0.271258750528,0.343695111266,0.235583074564,
0.3,0.3,0.152707587171,0.151945144486,0,0.153313829911,0.15248272988,0,0.199838171578,0.199694769423,0,0.233762120345,0.304375833698,0.262437216414,
0.3,0.4,0.132583114623,0.130847894374,0,0.133273911571,0.131176141198,0,0.178040825769,0.178480727407,0.00246774218518,0.219350553265,0.24375458756,0.105393061503,
0.3,0.5,0.11630779271,0.114981839581,0,0.117060459197,0.115185808957,0,0.161754003848,0.161904744324,0.000931477839553,0.202410344191,0.202255536221,0,
0.4,0.0,0.155338822921,0.210120336086,0.299795541116,0.210160859539,0.215920019624,0.0270331778149,0.267444647247,0.267466158427,8.04290350722e-05,0.304836171703,0.305100675826,0.000867316425452,
0.4,0.1,0.15422810368,0.195575844834,0.236405228298,0.195649635289,0.201623155007,0.0300726345392,0.259379289893,0.259353752534,0,0.297590523123,0.297656094987,0.000220318309941,
0.4,0.2,0.150088389421,0.16284426884,0.0815247567321,0.16316286633,0.167881348038,0.0285066556279,0.223873508323,0.223977606337,0.000464877774941,0.264007467799,0.275914276034,0.044105681504,
0.4,0.3,0.140488474364,0.141095391641,0.00431073900158,0.141809573031,0.141769989026,0,0.1908513502,0.190721786849,0,0.2254466297,0.264727059474,0.160271473728,
0.4,0.4,0.125060961644,0.124419241401,0,0.125584032228,0.124898062234,0,0.170034418738,0.169915102618,0,0.208228704925,0.230602414602,0.101969567254,
0.4,0.5,0.111896400682,0.110438735975,0,0.112446558842,0.110847648895,0,0.155188212367,0.154736342063,0,0.194141775687,0.194573128613,0.00221937940199,
0.5,0.0,0.139292785209,0.179237779172,0.250807918797,0.179430386686,0.18225402931,0.0156138473115,0.224404185691,0.224296052035,0,0.266775814887,0.286931369483,0.0728022144735,
0.5,0.1,0.138402647229,0.171161862407,0.2116470988,0.171379530823,0.17465180609,0.0189131729831,0.220726336007,0.220590937259,0,0.264134793514,0.270205997634,0.0227240900196,
0.5,0.2,0.135224020393,0.149556391311,0.100655595178,0.149893522641,0.15346548171,0.0235493854976,0.204485277235,0.204093780986,0,0.244198732611,0.244209941698,4.59004411823e-05,
0.5,0.3,0.129440733373,0.129317446181,0,0.129670970752,0.13201909753,0.0179458608726,0.180392247417,0.180463585346,0.000395381886233,0.218895479863,0.225840662825,0.0312328245722,
0.5,0.4,0.117758815172,0.117262096748,0,0.118087603704,0.117947175755,0,0.162406824521,0.162167581874,0,0.201429066372,0.209248374818,0.0380800485337,
0.5,0.5,0.10810750332,0.107242302424,0,0.108662690767,0.107642586936,0,0.150997165402,0.150524950783,0,0.188220781998,0.188297460043,0.000407300555502,
